pt_code,pt_name
10019045,losing my hair
10019045,loss of hair
10019045,hair loss
10019045,hair is getting very thin
10019045,thinning at the back and sides of my head
10019045,hair was falling off
10019045,hair has started falling out
10019063,halucinations during day
10019063,hallucinations
10019063,halucinations
10019108,hammer toe
10019121,swelling hands
10019121,sever swelling of hands
10019121,swollen hands
10019200,head pressure
10019211,head aches
10019211,severe headache
10019211,head pain
10019211,pain from the headache
10019211,headache
10019211,extreme headaches
10019211,severe headaces
10019211,terrible headaches
10019211,headace
10019211,head hurt
10019211,dull headaches
10019211,severe headaches
10019211,very bad headaches
10019211,blinding headaches
10019211,severe sudden onset headache in the back of head
10019211,mild headache
10019211,constant headaches
10019211,bad headache
10019211,headaches
10019211,frequent headaches
10019211,headaches every day
10019211,head hurting
10019211,on the back of the head pain in every tendon
10019211,low grade headache
10019246,deafness
10019276,damage your heart
10019276,severe heart disease
10019276,heart damage
10019279,weak heart muscle
10019297,heart throbbing out of my chest
10019323,erratic heart beat
10019323,irregullar heartbeat
10019323,irrecular heartbeat
10019323,severe irregular heartbeat
10019326,heartburn in back of throat
10019326,heartburn
10019339,sever heat intolerance
10019345,heat stress
10019349,heavy limbs
10019349,heavy legs and arms
10019349,felt like i was walking though sludge
10019349,extreme heaviness in limbs
10019467,complete weakness in the right side of my body
10019650,damaged my liver
10019650,damaged my liver permanently
10019650,liver disease
10019650,trouble with my liver
10019650,live damage
10019650,wrong with my liver
10019650,liver damage
10019663,liver disfunction
10019710,permanent liver damage
10019842,enlarged liver
10019974,shingles
10020197,severe welts
10020197,hives
10020197,painfull welts on bottom of feet
10020201,dry throat/hoarseness
10020201,husky vocal chords
10020201,hoarseness/coughing
10020201,hoarse voice
10020568,senistivity in the palms and soles of my feet
10020568,hypersensitivity that wrapped around my abdomen
10020568,senistivity in scalp
10020765,high sleep requirement
10020765,falling asleep all the time
10020765,constant sleepiness
10020765,excessive sleep
10020765,excessive sleep requirements
10020765,increase in sleep requirement
10020765,no amount of sleep makes me feel rested
10020765,fell asleep while driving
10020765,just wanted to sleep
10020765,only wanted to sleep
10020772,elevated blood pressure
10020772,hypertension
10020852,tightening of neck muscles
10020852,muscle tightness
10020852,tight neck muscles
10021033,bleeding mini periods
10021523,kidney function became a problem
10021527,feeling of doom
10021527,feeling of impending doom
10021527,irrational feelings of impending doom
10021527,impending doom
10021589,crying all the time
10021649,poor coordination while walking
10021649,problems with coordination
10021649,poor coordination while walking (kept bumping into things)
10021654,appetite increase
10021654,increased appetite
10021654,increase appetite
10021655,blood pressure elevated
10021655,increase in blood pressure
10021655,raised blood pressure
10021655,increased bp
10021655,blood pressure slightly elevated
10021655,blood pressure had gone sky high
10021655,increased blood pressure
10021683,constant alert
10021688,easy bruising
10021689,every 3 hrs drinking water
10021706,indigestion
10021706,occasional indigestion
10021707,indegestion
10021789,severe infections
10021789,infections
10021871,upper respiratory infections
10022004,flu-symptoms
10022004,felt like i was coming down with flu
10022004,fluey feelings
10022004,felt like i had the flu
10022004,flu-like symtoms
10022004,flu-like symptoms
10022004,i felt like i always had the flu
10022004,flu-like syptoms
10022004,flu like symptoms
10022004,""" fluey"" feelings in upper arms, legs"
10022004,flu-like malaise
10022004,fluish feeling
10022004,flu like synptoms
10022004,flu symptoms
10022004,flu symptons
10022004,flu like syptoms
10022004,flu like symtoms
10022004,felt flu-like
10022009,coming down with the flu
10022035,cannot get to sleep on my own
10022035,difficulty getting to sleep
10022035,can't get to sleep
10022035,could not get to sleep
10022437,mild insomnia
10022437,insommnia
10022437,insomia
10022437,insomina
10022437,can't even sleep at night
10022437,sleepless nites
10022437,sleepless nights
10022437,severe insomnia
10022437,insomnia
10022437,sleeplesness
10022437,sleeplessness
10022437,moderate insomnia
10022437,cant sleep
10022437,can't sleep
10022531,muscles pain on the left side of my chest
10022531,muscles on the sides of my back were constantly painful
10022531,pain in side muscles on one side of chest
10022559,vaginal bleeding and i am only 11 days into my cycle
10022559,vaginal bleeding when it was not time for my period
10022559,bleeding and i was on day 12 of my cycle
10022895,involuntary movements
10022992,irregular periods
10022992,bleeding several times a month menstrual cycle is completely out of whack
10022992,timing off for a true period
10023000,irritable
10023000,very grouchy
10023000,very irritable
10023000,crabby
10023000,irritability
10023000,irritibility
10023000,a lot grouchier
10023000,crankiness and irritability
10023000,crabbiness
10023000,irratibility
10023003,irritable colon
10023084,itchy hands
10023084,itch
10023084,intolerable itching
10023084,itchiness
10023084,itches
10023084,itchy crawly feeling
10023084,itching
10023084,very severe itching
10023084,extreme itching on legs and arms
10023084,constant itching
10023084,itchy
10023093,itch on my head
10023093,scalp itching
10023093,itchy scalp
10023094,skin itching sensations all over body
10023094,skin itchiness
10023094,pruritus
10023094,left side of jaw itches
10023094,bluss and ititching of the face
10023094,itching of the skin
10023126,jaundice
10023126,jaundins
10023157,jaw pains
10023222,minor joint soreness
10023230,stiffness in joints
10023230,stiff joints
10023230,joint stiffness
10023230,finger joints locking up
10023477,hurt to bend my knee
10023477,persistent pain in knee
10023477,knee pain
10023477,pain in knees
10023477,right knee is so painful
10023477,knees hurt
10023477,knees sore
10023477,sore knees
10023477,pain in knee
10023477,knees aches
10023477,sore and stiff knees
10023477,knee throbbing with pain
10023477,pain in my knees
10023477,aching in knees
10023477,right knee always sore
10023477,knee hurt
10023477,very severe pain in knees
10023477,pain behind the knee
10023477,pains in my left knee
10023477,pain in both knees
10023477,pain in the knees and feet
10023477,joint pain (knees)
10023477,joint pain in my knees
10023477,in my knees joint pain
10023477,major sorness in knees
10023477,aching joints knees
10023477,pain in my knee
10023477,joint pain in the knees
10023477,terrible pains in knee
10023567,labyrinthitis
10023614,loss of desire to do or accomplish anything
10023614,no motivation
10023614,loss the will to do anything
10023614,loss of drive
10023614,lack of motivation
10023614,not motivated to do anything
10023614,felt lazy
10023614,loss of interest in life
10023614,unmotivated
10023614,laziness
10023614,lack of enthusiasm
10023614,lazyness (i don't feel like doing anything)
10023614,drive is knocked down
10024032,tennis elbow
10024032,tennis elbow type pain
10024125,cramping in legs
10024264,constant lethargy
10024264,lethargy
10024264,lethargic
10024264,leathargy
10024419,decreased libido
10024419,sex drive has decreased
10024419,low libido
10024419,loss of sexual drive
10024419,decreased libdo
10024419,loss of sex drive
10024419,loss of sex drv
10024419,loss of sexual desire
10024419,loss of libido
10024419,decreased sex drive
10024419,lack libido
10024419,loss of any sex drive
10024419,decrease in sexual desire
10024419,low sex drive
10024419,lost all sexual desires and thoughts
10024419,no sex drive
10024422,lack of sexual drive
10024422,sex drive gone
10024422,lack of libido
10024422,lack of sexual desire
10024422,sex drive became non-existant
10024492,lightheaded
10024492,lightheadedness
10024492,light headedness
10024492,light headedness(problem keeping balance)
10024492,light headed
10024492,light-headedness (hurt to hold my head up or turn my head from side to side and that made driving real difficult)
10024492,lightheaded foggy brain (like being in a stupor)
10024492,light-headedness feeling
10024492,light head
10024509,stiff upper leg
10024509,stiffness in both legs
10024509,stiffness of limbs
10024509,stiffness in leg joint
10024509,stiffness in my feet
10024509,joint stiffness in feet
10024509,arm stiffness
10024509,stiff quad area
10024509,stiffness in legs
10024509,"left leg, below the knee, experienced stiffness"
10024570,lips started to swell
10024677,liver enzymes were very elevated
10024677,liver enzymes elevated
10024677,high liver enzyme
10024677,high liver enzyme counts
10024677,elevated liver enzymes
10024677,liver enzymes to rise
10024677,liver enzymes sky-high
10024692,very elevated liver function tests
10024840,loose bowels
10024840,loose stool
10024840,loose stools
10024854,destroyed my self-confidence
10024854,loss of self-confidence
10024862,decreased energy
10024862,low energy
10024862,lack of energy
10024862,have no energy
10024862,low in energy
10024862,loss of energy
10024862,lowering of energy
10024862,had no energy
10024862,no energy
10024862,no energy all day
10024862,energy loss
10024881,decreased eye sight
10024881,diminished eyesight
10024882,loss of vocal sound
10024891,lower back ache
10024891,low back pains
10024891,muscle aches in my lower back
10024891,very painful muscle aches in lower back
10024891,pain in lower back
10024891,back pain lower
10024891,muscle pain lower back
10024891,low back pain
10024891,lower back pain
10024933,partial tempoary loss of sight one eye
10024940,lower gut pain
