Input_ADR,True_ADR,Predicted_ADR,Top5_Predictions,Error_Type
unable to run,unable to run,could not sleep,"['could not sleep' 'could not sleep' 'could not sleep' 'could not sleep'
 'Could not sleep']",Semantic confusion
degenative muscle problem,degenative muscle problem,muscle problem,"['muscle problems' 'muscle problems' 'muscle-joint degeneration'
 'muscle problem' 'muscle problem']",Semantic confusion
back muscle pain in the,back muscle pain in the,muscle pain in back,"['back pain' 'back pain' 'Muscle Pain in upper back'
 'muscular pain in the back' 'muscle pain in back']",Semantic confusion
ed,E.D.,edema,"['confusion' 'Edema of ankles' 'edema of fingers and face'
 'Edema of hands' 'edema']",Semantic confusion
shoulder pain,Shoulder pain,shoulder pain,"['shoulder pain' 'shoulder pain' 'shoulder pain' 'shoulder pain'
 'shoulder pain']",Semantic confusion
damaged my liver permanently,damaged my liver permanently,damaged my liver,"['compromising my liver' 'trouble with my liver' 'liver damage'
 'permanent liver damage' 'damaged my liver']",Semantic confusion
pain traveling to my stomach,pain traveling to my stomach,pain in stomach,"['stomach pain' 'stomach pain' 'pain in my stomach' 'pain in my stomach'
 'pain in stomach']",Semantic confusion
extreme moodiness,extreme moodiness,moodiness,['moodiness' 'moodiness' 'moodiness' 'moodiness' 'moodiness'],Semantic confusion
scared feeling,'scared' feeling,fear,['Anxiety' 'anxiety' 'WEAK FEELING' 'feeling exausted' 'fear'],Semantic confusion
numbness in upper legs from knee to thigh,numbness in upper legs from knee to thigh,numbness in both legs,"['numbness in ankles and toes' 'started going numb legs'
 'numbness in limbs' 'numbness legs' 'numbness in both legs']",Semantic confusion
affecting my kidneys,affecting my kidneys,damaging my kidneys,"['kidney damage' 'kidney damage' 'KIDNEY TROUBLES' 'kidney problems'
 'damaging my kidneys']",Semantic confusion
depression,Depression,depression,['depression' 'depression' 'depression' 'depression' 'depression'],Semantic confusion
feet sore,Feet sore,sore feet,['feet hurt' 'Feet hurt' 'sore and stiff feet' 'sore feet' 'sore feet'],Semantic confusion
weight gain,Weight gain,weight gain,['weight gain' 'weight gain' 'weight gain' 'Weight gain' 'weight gain'],Lexical variation
stomach problems,stomach problems,Stomach problems,"['stomach discomfort' 'stomach discomfort' 'stomach discomfort'
 'Stomach problems' 'stomach problems']",Lexical variation
left side of jaw itches,left side of jaw itches,Jaw pains,"['itches' 'itches' 'numbness on left side' 'Numbness on left side of face'
 'Jaw pains']",Semantic confusion
short term memory loss,short term memory loss,Short term memory loss,"['short term memory loss' 'short term memory loss'
 'short term memory loss' 'short term memory loss'
 'short term memory loss']",Lexical variation
very bad muscle pain,very bad muscle pain,very bad pain in my muscles,"['severe muscle pain' 'severe muscle pain' 'severe muscle pain'
 'severe muscle pain' 'very bad pain in my muscles']",Semantic confusion
loss of support in calf musells,loss of support in calf musells,loss of support in all muscels in particular calf and leg,"['Calf Pain' 'calf cramping' 'calves hurt' 'LOSS OF CALF SUPPORT IN LEGS'
 'loss of support in all muscels in particular calf and leg']",Semantic confusion
slip in vision,slip in vision,vision problems,"['vision problems' 'vision problems' 'vision problems' 'vision problems'
 'vision problems']",Semantic confusion
crave carbohydrates,crave carbohydrates,food cravings,['hunger pangs' 'Hunger pangs' 'hunger' 'hunger feeling' 'food cravings'],Semantic confusion
lost all the strength in my muscles,lost all the strength in my muscles,Lost muscular strength,"['loss of strength' 'loss of strength' 'loss of strength'
 'loss of muscle strength' 'Lost muscular strength']",Semantic confusion
muscle pain in left arm,MUSCLE PAIN IN LEFT ARM,severe muscle pain in left arm,"['pain in upper right arm' 'Muscle pain in left elbow'
 'severe pain in my left arm' 'Pain in left arm'
 'severe muscle pain in left arm']",Semantic confusion
left shoulder upper arm pain,left shoulder upper arm pain,severe intense left arm and shoulder pain,"['Pain in left arm' 'left shoulder aches' 'severe pain in left shoulder,'
 'pain in upper right arm' 'severe intense left arm and shoulder pain']",Semantic confusion
flared up tendenitis,flared up tendenitis,tendinitis,['tendon pain' 'tendonitis' 'tendonitis' 'tendonitis' 'tendinitis'],Semantic confusion
hardly lift my arms,hardly lift my arms,couldn't lift my arms,"['painful time lifting my own arm' 'Arms feel HEAVY'
 'could not raise my arms' ""couldn't lift my arms or legs""
 ""couldn't lift my arms""]",Semantic confusion
muscle pain in the arms,muscle pain in the arms,extreme muscle pain in arms,"['pain in arms' 'Pain in arms' 'muscle aches in arms'
 'Muscle aches in arms' 'extreme muscle pain in arms']",Semantic confusion
not be able to process thoughts,not be able to process thoughts,Difficulty thinking,"['inability to think clearly' 'loss of coherent thought'
 'frequently unable to think clearly' 'thinking problems'
 'Difficulty thinking']",Semantic confusion
bladder not to empty as it should,BLADDER NOT TO EMPTY AS IT SHOULD,my bladder all but quit working,"['BLADDER INFECTION' 'BLADDER INFECTION' 'urinary incontinence'
 'no control over urination' 'my bladder all but quit working']",Semantic confusion
muscle achs,muscle achs,achy muscles,['muscle atrophy' 'muscle aces' 'achy legs' 'achy legs' 'achy muscles'],Semantic confusion
occasional thoughts of suicide,occasional thoughts of suicide,thoughts of suicide,"['suicide' 'suicidal depression' 'suicidal thoughts'
 'thoughts about suicide' 'thoughts of suicide']",Semantic confusion
outoftouch feelings,out-of-touch feelings,feeling exausted,"['feeling depressed' 'WEAK FEELING' 'false full feeling' 'feeling stupid'
 'feeling exausted']",Semantic confusion
felt like i had aged to eighty years old overnight,felt like I had aged to eighty years old overnight,feel like I've aged 20 years,"['felt like an old woman' 'felt like an old (older) man'
 'felt much older than I was' 'eighty years old feeling'
 ""feel like I've aged 20 years""]",Semantic confusion
hair breakage,Hair breakage,hair breakage,"['hair loss' 'hair has started falling out' 'HAIR FALLING OUT'
 'hair falling out' 'hair breakage']",Semantic confusion
paranoia,Paranoia,paranoia,['paranoia' 'paranoia' 'paranoia' 'paranoia' 'paranoia'],Semantic confusion
mild cramps,mild cramps,mild cramping,['Cramps' 'cramps' 'cramps' 'severe cramps' 'mild cramping'],Semantic confusion
discomfort when i walk,discomfort when I walk,painful to walk,"['inability to walk' 'inability to walk' 'Pain trying to walk'
 'painful to walk' 'painful to walk']",Semantic confusion
could barely walk up stairs,could barely walk up stairs,couldn't go up stairs easily,"['difficulty walking up stairs' ""couldn't get down the stairs""
 ""Can't walk up stairs"" 'could not walk up the stairs'
 ""couldn't go up stairs easily""]",Semantic confusion
excercise intolerance,Excercise intolerance,exercise intolerance,"['declining physical ability' 'sever heat intolerance'
 'impaired my ability to exercise' 'exercise intolerance'
 'exercise intolerance']",Semantic confusion
muscle spasmns in legs,muscle spasmns in legs,spasms in leg muscles,"['spasms in upper thighs' 'spasms all throughout my legs'
 'severe muscle spasms in my legs' 'muscle spasms in leg'
 'spasms in leg muscles']",Semantic confusion
neck pain,Neck pain,neck pain,['neck pain' 'neck pain' 'Neck pain' 'neck pain' 'neck pain'],Lexical variation
inflamatory muscle pain,inflamatory muscle pain,muscle pain,['muscle pain' 'muscle pain' 'muscle pain' 'muscle pain' 'muscle pain'],Semantic confusion
couldnt climb stairs,couldn't climb stairs,could not walk up the stairs,"['Unable to even climb 1 flight of stairs' ""couldn't get down the stairs""
 'unable to climb stairs' ""couldn't go up stairs easily""
 'could not walk up the stairs']",Semantic confusion
pain in my calves,pain in my calves,severe pain in calves,"['calf pain' 'calf pain' 'Calf Pain' 'Severe muscle pain in calves'
 'severe pain in calves']",Semantic confusion
skin irritation,skin irritation,skin itchiness,"['skin condition' 'Stomach irritation' 'stomach irritation' 'skin rash'
 'skin itchiness']",Semantic confusion
aching muscles in back,aching muscles in back,muscle pain in back,"['Muscle Pain in upper back' 'Aching in back' 'muscular pain in the back'
 'Slight muscle aches in my back' 'muscle pain in back']",Semantic confusion
charley horses in calves,charley horses in calves,charley horses in feet,"['charley horses in abdomen' 'charley horses' 'charley horses in sides'
 'charley horses in feet' 'charley horses in feet']",Semantic confusion
big time depression,big time depression,depression,['depression' 'depression' 'depression' 'depression' 'Depression'],Semantic confusion
intense chills and shivers,intense chills and shivers,shaking with chills uncontrollably,['chills' 'chills' 'chills' 'chills' 'shaking with chills uncontrollably'],Semantic confusion
parkinsons symptoms,Parkinson's symptoms,symptoms of parkinson's disease,"[""parkinson's-type tremor in left hand"" ""parkinson's"" 'Parkinsons'
 ""Possible Early Parkinson's symptoms"" ""symptoms of parkinson's disease""]",Semantic confusion
pain pain pain,pain pain pain,pain,['pain' 'pain' 'pain' 'pain' 'pain'],Semantic confusion
felt very weak,felt very weak,felt weak,"['overall weak feeling' 'WEAK FEELING' 'feeling weak' 'feeling weak'
 'felt weak']",Semantic confusion
aching in my fingers,aching in my fingers,pain in my fingers,"['PAIN IN MY HANDS' 'Pain in my hands' 'fingers hurt' 'sore fingers'
 'pain in my fingers']",Semantic confusion
irritable colon,irritable colon,severe colon cramping,"['irritability' 'irritability' 'intestinal pain'
 'irritable bowel syndrome of the sigmoid area and descending colon with obstipation and constipation'
 'severe colon cramping']",Semantic confusion
pains in my back,pains in my back,aches and pains in my back,"['pain in back' 'pain in back' 'pain in back' 'pain in back'
 'aches and pains in my back']",Semantic confusion
shortness of breath,Shortness of Breath,shortness of breath,"['shortness of breath' 'shortness of breath' 'shortness of breath'
 'shortness of breath' 'shortness of breath']",Semantic confusion
bottoms of my feet hurt,bottoms of my feet hurt,bottoms of feet hurt,"['Feet hurt' 'feet hurt' 'feet hurt' 'Pain in bottom of feet'
 'bottoms of feet hurt']",Semantic confusion
slight neck pain,slight neck pain,neck pain,['neck pain' 'neck pain' 'neck pain' 'neck pain' 'neck pain'],Semantic confusion
tire very quickly muscles,tire very quickly muscles,muscles stiff,"['muscle stiffness' 'Muscle Stiffness' 'lots of pain in the muscles'
 'muscles very tight' 'muscles stiff']",Semantic confusion
comfortably couldnt sleep,comfortably Couldn't sleep,couldn't sleep,"['could not sleep' ""couldn't sleep at night"" ""comfortably Couldn't walk""
 ""couldn't sleep"" ""couldn't sleep""]",Semantic confusion
depression,Depression,depression,['depression' 'depression' 'depression' 'depression' 'depression'],Semantic confusion
extreme stomach pain,extreme stomach pain,Major stomach pain,"['stomach pain' 'stomach pain' 'stomach pain' 'terrible stomach pain'
 'Major stomach pain']",Semantic confusion
knees sore,knees sore,sore knees,"['Pain in knees' 'aching in knees' 'knees aches' 'sore and stiff knees'
 'sore knees']",Semantic confusion
back and hip pain,back and hip pain,hip and back pain,"['hip pain' 'Hip pain' 'hip pain' 'severe back and hip pain'
 'hip and back pain']",Semantic confusion
severe leg muscle pain,Severe leg muscle pain,severe leg muscle pains,"['muscle pain in the leg' 'leg muscle pain' 'leg muscle pain'
 'severe muscle pain in legs' 'severe leg muscle pains']",Semantic confusion
pains hips,pains hips,pains in hips,['hips hurt' 'pain in hips' 'pain in hips' 'hips pain' 'pains in hips'],Semantic confusion
varying blood pressure,varying blood pressure,blood pressure slightly elevated,"['high blood pressure' 'blood pressure elevated'
 'Increase in blood pressure' 'INCREASED BLOOD PRESSURE'
 'blood pressure slightly elevated']",Semantic confusion
inability to pull myself from bed,inability to pull myself from bed,difficult for me to get out of bed,"[""can't get out of bed"" 'moving in bed is painful'
 'unable to get out of bed'
 'not being able to get out of bed in the morning'
 'difficult for me to get out of bed']",Semantic confusion
weak,weak,Weak,['weak' 'weak' 'weak' 'weak' 'Weak'],Lexical variation
stiffness in lower back,Stiffness in lower back,weakness in upper back,"['body stiffness' 'lower back ache' 'lower back is also tight'
 'lower back weakness' 'weakness in upper back']",Semantic confusion
blurred thinking,blurred thinking,blurred vision,"['blurred vision' 'blurred vision' 'blurred vision' 'blurred vision'
 'blurred vision']",Semantic confusion
affected my balance,AFFECTED MY BALANCE,loss of balance,"['Loss of balance' 'loss of balance' 'loss of balance' 'loss of balance'
 'loss of balance']",Semantic confusion
decreased eye sight,decreased eye sight,eye sight changes,"['Eye sight appeared foggy' 'PARTIAL LOSS OF SIGHT' 'diminished eyesight'
 'partial tempoary loss of sight one eye' 'eye sight changes']",Semantic confusion
pain in shoulders,Pain in shoulders,pain in shoulders,"['pain in my shoulders' 'Pain in the shoulders' 'pain in shoulders'
 'pain in shoulders' 'pain in shoulders']",Semantic confusion
difficulty getting out of bed in the morning,difficulty getting out of bed in the morning,can't get out of bed in the morning,"['difficult for me to get out of bed' ""can't get out of bed""
 'unable to get out of bed'
 'not being able to get out of bed in the morning'
 ""can't get out of bed in the morning""]",Semantic confusion
pain on the sole of my feet,pain on the sole of my feet,pain in feet,"['terrible pain in my feet' 'Pain in bottom of feet'
 'severe pain in my feet' 'pain in feet' 'pain in feet']",Semantic confusion
paranoid,paranoid,paranoia,['paranoia' 'paranoia' 'paranoia' 'paranoia' 'paranoia'],Semantic confusion
ear aches,ear aches,ears ringing,"['Ringing in the ears' 'plugged ears' 'head aches' 'head aches'
 'ears ringing']",Semantic confusion
sick to my stomach,sick to my stomach,SICK TO MY STOMACH,"['feeling sick' 'sick at stomach' 'sick to stomach' 'sick to my stomach'
 'SICK TO MY STOMACH']",Lexical variation
mental distress,mental distress,depression,['depression' 'depression' 'depression' 'DEPRESSION' 'depression'],Semantic confusion
joint stiffness,joint stiffness,Joint Stiffness,"['stiff joints' 'stiff joints' 'joint stiffness' 'joint stiffness'
 'Joint Stiffness']",Lexical variation
couldnt move my legs,couldn't move my legs,couldn't lift my arms or legs,"['could not walk' 'could not walk' ""couldn't lift my arms""
 'unable to lift my legs' ""couldn't lift my arms or legs""]",Semantic confusion
severe stomach pain,severe stomach pain,stomach pain,"['stomach pain' 'stomach pain' 'stomach pain' 'stomach pain'
 'stomach pain']",Semantic confusion
starting to upset my stomach,starting to upset my stomach,upset stomach,"['stomach upsets' 'Upset stomach' 'upset stomach' 'Upset stomach'
 'upset stomach']",Semantic confusion
unable to walk or stand,Unable to walk or stand,unable to walk,"['unable to walk' 'unable to walk' 'Unable to walk' 'unable to walk'
 'unable to walk']",Semantic confusion
very severe pain in arms,Very severe pain in arms,severe pain in arm,"['Pain in arms' 'extremly bad pains in arms'
 'Intense and constant pain in arms' 'severe pains in my arms'
 'severe pain in arm']",Semantic confusion
shoulders are still very messed up,shoulders are still very messed up,tightness in shoulders,"['pain in shoulders' ""couldn't move shoulders"" 'Pain in the shoulders'
 'weakness in shoulders' 'tightness in shoulders']",Semantic confusion
dryitchy skin,"dry,itchy skin",dry skin,['dry eyes' 'skin is so dry' 'skin is so dry' 'skin is so dry' 'dry skin'],Semantic confusion
bloody vagina,Bloody vagina,vaginal bleeding,"['vaginal bleeding' 'vaginal bleeding' 'vaginal bleeding'
 'vaginal bleeding' 'vaginal bleeding']",Semantic confusion
cannot walk,cannot walk,Unable to walk,"['unable to walk' 'Unable to walk' 'unable to walk' 'unable to walk'
 'unable to walk']",Semantic confusion
reduced mental capabiities,reduced mental capabiities,decreased cognitive skills,"['Mentally in a daze' 'mental fogginess' 'Mental fogginess'
 'cognitive ability deminished' 'decreased cognitive skills']",Semantic confusion
muscle pain,Muscle pain,muscle pain,['muscle pain' 'muscle pain' 'muscle pain' 'muscle pain' 'Muscle pain'],Lexical variation
very dark urine,very dark urine,dark urine,"['urine is bloody' 'urine full of blood' 'darkness in urine' 'dark urine'
 'dark urine']",Semantic confusion
eyes microabrasions,eyes microabrasions,iritated eyes,"['dry eyes' 'extremely dry eyes' 'eye trouble' 'eyes are bloodshot'
 'iritated eyes']",Semantic confusion
put weight on suddenly for no reason,put weight on suddenly for no reason,Unable to control weight,"['weight gain' 'weight gain' 'weight increased' 'gained a lot of weight'
 'Unable to control weight']",Semantic confusion
i walk like an old person,I walk like an old person,walked like a 90 year old,"['hard to walk' 'hardly walk' 'difficult for me to walk'
 'walk a little funny' 'walked like a 90 year old']",Semantic confusion
deeper muscle twitches on butt,Deeper muscle twitches on butt,Deeper muscle twitches on arms sides,"['Muscle twitching on calves' 'Muscle twitching on bottom of feet'
 'muscle twitches' 'Muscle twitches'
 'Deeper muscle twitches on arms sides']",Semantic confusion
cpk spike,CPK spike,HIGH CPK,"['slightly elevated CPK' 'elevated CPK' 'CPK elevated' 'CPK was elevated'
 'HIGH CPK']",Semantic confusion
rapid shallow breathing,rapid shallow breathing,short of breath,"['shortness of breath' 'shortness of breath' 'shortness of breath'
 'shortness of breath' 'short of breath']",Semantic confusion
slight flush,slight flush,body flushes,"['tightness' 'slight nausea' 'slight nausea'
 'complete body flushes (like a hot flash without the hot)' 'body flushes']",Semantic confusion
fatigue,Fatigue,fatigue,['fatigue' 'fatigue' 'fatigue' 'fatigue' 'fatigue'],Semantic confusion
scapula and shoulders felt like there was something vibrating under my skin,SCAPULA AND SHOULDERS FELT LIKE THERE WAS SOMETHING VIBRATING UNDER MY SKIN,vibrating sensation,"['insides were vibrating' 'vibrating under scalp' 'pain in my shoulders'
 'left shoulder tingles' 'vibrating sensation']",Semantic confusion
muscle pain over the entire body,muscle pain over the entire body,pain in almost every muscle,"['muscle pain' 'muscle pain' 'muscle pain' 'muscle pain'
 'pain in almost every muscle']",Semantic confusion
irritable,irritable,Irritable,['irritability' 'very irritable' 'irritable' 'Irritable' 'irritable'],Lexical variation
knees seized up,knees seized up,Swollen knees,"['arthritic knees' 'PAIN IN MY KNEES' 'sore knees' 'Swollen knees'
 'swollen knees']",Semantic confusion
tingling on left arm,tingling on left arm,tingling in arm and hand,"['tingling in my arms' 'tingling in my arms' 'tingling in my arms'
 'tingling in arms' 'tingling in arm and hand']",Semantic confusion
i simply could not walk,I simply could not walk,could not walk,"['cant walk' 'could not walk' 'could not walk' 'could not walk'
 'could not walk']",Semantic confusion
mood change,mood change,changes in mood,['moodiness' 'moodiness' 'moodiness' 'moodiness' 'changes in mood'],Semantic confusion
hard to pick up feet,hard to pick up feet,difficulty picking my feet up,"['Feet hurt' 'hard to walk' 'problems with feet' 'Feet are terrible'
 'difficulty picking my feet up']",Semantic confusion
pain in both quads above knee back of leg,"Pain in both quads (above knee, back of leg)","cramping in both quads (above knee, back of leg)","['pain in both knees' 'pain in both legs' 'pain in both legs'
 'pain in both upper legs'
 'cramping in both quads (above knee, back of leg)']",Semantic confusion
muscle atrophy arms,muscle atrophy Arms,muscle atrophy,"['atrophy' 'atrophy' 'muscle wasting in the arms' 'muscle atrophy legs'
 'muscle atrophy']",Semantic confusion
stroke like symptoms,stroke like symptoms,Stroke like symptoms,"['felt like I was having a stroke' 'felt like I was having a stroke'
 'stroke' 'stroke like symptoms' 'Stroke like symptoms']",Lexical variation
negative about everything in my life,negative about everything in my life,feeling depressed,['depressed' 'depressed' 'depressed' 'depressed' 'feeling depressed'],Semantic confusion
severe pain in one ankle,severe pain in one ankle,ankle pain,"['exteem pain in my ankle' 'terrible pains in ankle' 'ankle pain'
 'ankle pain' 'ANKLE PAIN']",Semantic confusion
back pain,back pain,Back pain,['back pain' 'back pain' 'back pain' 'back pain' 'back pain'],Lexical variation
high sleep requirement,high sleep requirement,excessive sleep requirements,"['Difficulty sleeping' 'difficulty sleeping' 'difficulty sleeping'
 'INCREASE IN SLEEP REQUIREMENT' 'excessive sleep requirements']",Semantic confusion
arms started tingling,arms started tingling,tingling in arms,"['tingling in my arms' 'tingling in my arms' 'tingling in my arms'
 'arms tingling in' 'tingling in arms']",Semantic confusion
severe pain in hand,severe pain in hand,Very severe pain in hands,"['Pain in my hands' 'pain in hands' 'Pain in hands' 'hand pain'
 'Very severe pain in hands']",Semantic confusion
irritable,irritable,Irritable,['irritability' 'very irritable' 'irritable' 'Irritable' 'irritable'],Lexical variation
tingling in muscles of upper torso,TINGLING IN MUSCLES OF UPPER TORSO,Tingling in legs,"['tingling in my legs' 'sensations of tingling in my legs'
 'tingling in arm and hand' 'tingling in arms' 'Tingling in legs']",Semantic confusion
right hand tremor,right hand tremor,tremors in right hand,"['tremor' 'tremor' ""parkinson's-type tremor in left hand""
 'Tremors in Right hand' 'tremors in right hand']",Semantic confusion
joint pain in my lower back,joint pain in my lower back,Pain in lower back,"['lower back pain' 'LOWER BACK PAIN' 'lower back pain'
 'Pain in lower back' 'Pain in lower back']",Semantic confusion
passing massive amounts of blood,passing massive amounts of blood,pushing blood presure up,"['high blood press' 'heavy bleeding' 'heavy bleeding' 'Heavy bleeding'
 'pushing blood presure up']",Semantic confusion
muscle degenerating,muscle degenerating,muscle-joint degeneration,"['losing muscle' 'muscles deteriorated'
 'noticible loss of muscle structure' 'muscle disintegration/degeneration'
 'muscle-joint degeneration']",Semantic confusion
went down stamina,went down stamina,loss of stamina,"['went down muscles' 'reduced stamina' 'decreased stamina'
 'loss of stamina' 'loss of stamina']",Semantic confusion
muscle pain lower back,muscle pain lower back,muscle pain in back,"['lower back pain' 'lower back pain' 'Lower back pain' 'LOWER BACK PAIN'
 'muscle pain in back']",Semantic confusion
severe swoleninflamation of the fingershand,severe swolen/inflamation of the fingers/hand,severe swolen/inflamation of the fingers/hands,"['finger stiffness' 'Tingeling in fingers' 'sore fingers'
 'mild stiffness of my fingers'
 'severe swolen/inflamation of the fingers/hands']",Semantic confusion
als,ALS,als,"['hoarseness/coughing' 'plugged ears' 'hoarse voice' 'symptoms of als'
 'als']",Semantic confusion
skin itching sensations all over body,skin itching sensations all over body,extreme itching on legs and arms,"['very severe itching' 'constant itching' 'itching all over'
 'skin itchiness' 'extreme itching on legs and arms']",Semantic confusion
calves tire and burn,Calves tire and burn,burning sensations in calves,"['CALF PAIN' 'Calf Pain' 'calves hurt' 'calf of left leg began to burn'
 'burning sensations in calves']",Semantic confusion
very very tired,VERY VERY TIRED,Very very tired,['very tired' 'very tired' 'very tired' 'VERY TIRED' 'Very very tired'],Semantic confusion
loss of sexual desire,loss of sexual desire,decrease in sexual desire,"['loss of any sex drive' 'loss of sexual drive'
 'lost all sexual desires and thoughts' 'lack of sexual desire'
 'decrease in sexual desire']",Semantic confusion
mood changes,mood changes,changes in mood,['moodiness' 'moodiness' 'moodiness' 'Mood problems' 'changes in mood'],Semantic confusion
muscle soreness,muscle soreness,MUSCLE SORENESS,"['overall muscle soreness' 'soreness in muscles' 'muscle soreness'
 'muscle soreness' 'MUSCLE SORENESS']",Lexical variation
feel pretty lousy,feel pretty lousy,feel dreadful,"['Felt generally terrible' 'feel sick' 'overall weak feeling'
 'overall weak feeling' 'feel dreadful']",Semantic confusion
multiple sclerosis,Multiple Sclerosis,neurological problems,"['MS' 'neurological damage' 'neurological damage' 'neurodegeneration'
 'neurological problems']",Semantic confusion
shoulder painful,shoulder painful,shoulder pain,"['shoulder pain' 'shoulder pain' 'shoulder pain' 'shoulder pain'
 'shoulder pain']",Semantic confusion
buzzing in limbs,buzzing in limbs,buzzing sensation in leg,"['vibrating sensation' 'buzzing in both ears' 'buzzing left leg'
 'leg buzzing sensation' 'buzzing sensation in leg']",Semantic confusion
dementia,dementia,psychiatric,"['memory impaired' 'impaired memory' 'neurodegeneration' 'amnesia'
 'psychiatric']",Semantic confusion
swollen ankles,swollen ankles,Swollen ankles,"['swollen feet and ankles' 'swollen feet & ankles' 'swelling of ankles'
 'swollen ankles' 'Swollen ankles']",Lexical variation
upset my stomach,upset my stomach,Upset stomach,"['seriously upset my stomach' 'Upset stomach' 'upset stomach'
 'upset stomach' 'Upset stomach']",Semantic confusion
throw up,throw up,threw up,['vomiting' 'vomiting' 'vomiting' 'vomiting' 'threw up'],Semantic confusion
sight loss,Sight loss,PARTIAL LOSS OF SIGHT,"['sight gets tired' 'sudden loss of vision'
 'partial tempoary loss of sight one eye' 'eye sight changes'
 'PARTIAL LOSS OF SIGHT']",Semantic confusion
my feet hurt,my feet hurt,feet hurt,['pain in feet' 'feet hurt' 'Feet hurt' 'feet hurt' 'feet hurt'],Semantic confusion
weakness in hips,weakness in hips,hips hurt,"['Terrible pain in hips' 'aching in hips' 'hips pain' 'hips hurt'
 'hips hurt']",Semantic confusion
severe muscle pain in my shoulders,severe muscle pain in my shoulders,Severe muscle pain in shoulders,"['muscle pain related to shoulders' 'MUSCLE PAIN IN SHOULDERS'
 'muscle pain in shoulders' 'extreme muscle pain in shoulders'
 'Severe muscle pain in shoulders']",Semantic confusion
feel drugged,feel drugged,feel sick,['Feel shaky' 'feeling stupid' 'feel tired' 'feeling sick' 'feel sick'],Semantic confusion
muscle weakness in my left arm,muscle weakness in my left arm,Weakness in my right arm,"['muscle weakness' 'muscle weakness' 'muscle weakness' 'muscle weakness'
 'Weakness in my right arm']",Semantic confusion
